,POI_yelp_id,station_ebikes,station_empty_slots,station_free_bikes,station_has_ebikes,station_id,station_normal_bikes,station_renting,station_returning,station_slots,station_distance_min,station_distance_max,station_distance_mean,station_distance_median,station_distance_25_percentile,station_distance_75_percentile,station_distance_IQR,POI_category_name,POI_category_count,POI_alias,POI_name,POI_is_closed,POI_url,POI_review_count,POI_rating,POI_price
31,08j7E4HP6Shlc3FyN4csjQ,5,77,90,8,8,85,8,8,170,36.401993290431285,619.2647826503187,318.56625616631516,288.2091911324769,229.41131648277752,423.2054340837592,193.79411760098168,['Restaurant'],1,subway-vancouver-32,Subway,False,https://www.yelp.com/biz/subway-vancouver-32?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,10,3.0,$
32,0Br1NRv_mxeFNz6-zqJahQ,6,16,32,2,2,26,2,2,48,11.963260066798542,193.4583671147252,102.71081359076187,102.71081359076187,57.33703682878021,148.08459035274353,90.74755352396332,['Restaurant'],1,tim-hortons-vancouver-50,Tim Hortons,False,https://www.yelp.com/biz/tim-hortons-vancouver-50?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,10,2.5,
33,0BvstbA_zaIfe6fwtMm-Ow,15,364,281,33,33,266,33,33,659,103.71484837052796,1265.8669396055095,552.9291795566669,525.7205096172272,275.36181324738266,744.126910326736,468.7650970793534,['Bar' 'Restaurant'],2,cincin-ristorante-bar-vancouver-3,CinCin Ristorante + Bar,False,https://www.yelp.com/biz/cincin-ristorante-bar-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,412,4.0,$$$
34,0DOiGpJm17_9vysNWOiHng,77,446,345,47,47,268,47,47,811,100.68192117034978,1116.7964326328424,588.5824913669442,554.9302031785792,386.87945402992,814.0285904165728,427.1491363866528,['Bar' 'Restaurant'],2,tocador-vancouver-3,Tocador,False,https://www.yelp.com/biz/tocador-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,47,3.5,$$
35,0Dd1Cjt_XoVaEvPOkyBD-g,57,384,456,44,44,399,44,44,852,77.39902572946565,1231.150214373727,775.9858240255054,813.1432805141706,618.8651793692219,976.4141870414459,357.549007672224,['Park'],1,coopers-park-vancouver,Coopers' Park,False,https://www.yelp.com/biz/coopers-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,18,4.0,
36,0G07rSEBomrEdM0PtICcLw,9,28,78,5,5,69,5,5,106,100.12378812933778,458.3758935412859,257.46309847605664,241.67312072475764,203.6768658040831,283.46582418081886,79.78895837673576,['Restaurant'],1,little-bangkok-thai-kitchen-2-vancouver,Little Bangkok Thai Kitchen 2,False,https://www.yelp.com/biz/little-bangkok-thai-kitchen-2-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,4,5.0,
37,0GcsMb8Td3DkrbfkpXPwAQ,7,77,41,5,5,34,5,5,118,90.62564774623549,917.2689769334396,572.7310137607658,675.9597907716065,280.7126454815913,899.0880078709557,618.3753623893645,['Restaurant'],1,itosugi-kappo-cuisine-vancouver,Itosugi Kappo Cuisine,False,https://www.yelp.com/biz/itosugi-kappo-cuisine-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,10,4.0,
38,0JkJipsenrvxvkRpIMjF5A,8,86,108,10,10,100,10,10,196,160.1148247480442,620.791392863363,433.1622688518839,435.5370679577875,338.17253544703755,571.0936832351172,232.92114778807962,['Restaurant'],1,santapan-indonesian-grill-vancouver,Santapan Indonesian Grill,False,https://www.yelp.com/biz/santapan-indonesian-grill-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,1.0,
39,0L4ONgs8R9J78_NQ8U0-rw,9,38,35,4,4,26,4,4,72,284.662049912304,896.249457024089,661.8875335530988,733.3193136380012,583.9816222365313,811.2252249545687,227.24360271803744,['Restaurant'],1,laksa-king-vancouver-2,Laksa King,False,https://www.yelp.com/biz/laksa-king-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,202,4.0,$$
40,0N9E1acBabh4u4bZ_tcrBw,3,33,29,4,4,26,4,4,62,103.72835485370994,501.6187980018578,260.3140372242192,217.95449802065454,117.62430087169292,360.64423437318084,243.0199335014879,['Restaurant'],1,yaletown-gelato-vancouver,Yaletown Gelato,False,https://www.yelp.com/biz/yaletown-gelato-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,71,4.0,$$
41,0NMmNxqEMOZ-e0ESwzNnWw,7,60,26,3,3,19,3,3,88,57.50856896706515,143.62538092566905,99.811869427239,98.30165838898282,77.90511367802398,120.96351965732593,43.05840597930195,['Restaurant'],1,mumgry-vancouver,Mumgry,False,https://www.yelp.com/biz/mumgry-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,3,5.0,
42,0O5VsHtLkUNbxKaeJKGa-A,53,350,296,38,38,243,38,38,660,95.79855747528936,1149.226680653656,705.9844034388334,744.3722311323149,469.3024915646375,919.8352535190124,450.53276195437496,['Bar'],1,bar-susu-vancouver,Bar Susu,False,https://www.yelp.com/biz/bar-susu-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,15,3.5,
43,0PI5VNKnhBZMddN_f351tg,0,46,42,5,5,42,4,4,90,128.01105662211128,937.654258416974,515.5283714120958,408.2849119818925,318.7242356521471,784.967394387354,466.2431587352069,['Restaurant'],1,chung-chun-vancouver-2,Chung Chun,False,https://www.yelp.com/biz/chung-chun-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,68,4.5,$
44,0RizLRPuPeUnCOWu94AAyQ,12,354,270,32,32,258,31,31,637,54.22914702489259,1147.4500476486885,537.1218733902776,503.4343721931541,230.5622958840446,798.4497670827957,567.8874711987511,['Bar' 'Restaurant'],2,abode-restaurant-and-coffee-bar-vancouver-2,ABODE Restaurant & Coffee Bar,False,https://www.yelp.com/biz/abode-restaurant-and-coffee-bar-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,86,3.0,$$
