station_id,station_name,latitude,longitude,empty_slots,free_bikes,timestamp,extra.uid,extra.normal_bikes,extra.has_ebikes,extra.ebikes,extra.slots,extra.renting,extra.returning,extra.last_updated
0b543fc4e694fe07a54dac48bb1b3390,Robson & Hornby,49.282758,-123.122092,22,7,2023-02-13T19:22:31.653000Z,0019,5,True,2,30,True,True,1676316118
1b4c6f63f4bfbbd983992dbdca776865,Cordova & Granville,49.286042,-123.113176,1,21,2023-02-13T19:22:31.678000Z,0021,21,True,0,22,True,True,1676316141
fbb1d30d7f30b049873f5be5688563d4,Hornby & Pender,49.28602,-123.116624,3,19,2023-02-13T19:22:31.691000Z,0024,14,True,5,22,True,True,1676316036
7181df50ee1d1a05559399211382b7c8,Homer & Robson (Vancouver Public Library),49.279739,-123.116251,13,7,2023-02-13T19:22:31.692000Z,0025,7,True,0,20,True,True,1676316134
2ef000bc9d4650d8cc6198c4d570b19f,Beatty & Robson,49.277483,-123.114279,15,3,2023-02-13T19:22:31.689000Z,0026,2,True,1,20,True,True,1676316110
b7683a86874e6300fd89f4cc0b075f57,Beatty & Nelson,49.275679,-123.116963,8,6,2023-02-13T19:22:31.690000Z,0027,5,True,1,14,True,True,1676316098
3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,49.282759,-123.106955,13,9,2023-02-13T19:22:31.388000Z,0030,9,True,0,22,True,True,1676316033
1d7e73b3321ebb6713774d376247d9f9,Comox & Denman,49.288444,-123.139203,3,15,2023-02-13T19:22:31.397000Z,0032,15,True,0,18,True,True,1676315642
664502c28e8147615f17b8ea355f40d0,Cordova & Bute,49.289124,-123.12196,5,12,2023-02-13T19:22:31.383000Z,0034,10,True,2,14,True,True,1676316013
6c24a62b5ee0a2a8014eb0dfb6d40025,Hornby & Nelson,49.28062,-123.12482,15,3,2023-02-13T19:22:31.384000Z,0037,1,True,2,18,True,True,1676316043
fad9ebcf614dd1a72593a34072ff76f8,Helmcken & Burrard,49.279938,-123.127478,3,12,2023-02-13T19:22:31.379000Z,0039,10,True,2,15,True,True,1676315712
3a4131fa94946d93d3529136efd62413,Pacific & Richards,49.273663,-123.127075,13,1,2023-02-13T19:22:31.429000Z,0044,1,True,0,14,True,True,1676316013
25318ec3e06fae1397a3a2f645104149,Chilco & Beach,49.28972,-123.144028,12,2,2023-02-13T19:22:31.431000Z,0047,2,True,0,14,True,True,1676315670
444991edc9550be0908f032da5e3c95f,Comox & Broughton,49.285253,-123.134356,8,4,2023-02-13T19:22:31.413000Z,0048,4,True,0,12,True,True,1676315950
434b6f4e7fc30198f901b60fc905f609,Bute & Comox,49.283343,-123.131099,15,7,2023-02-13T19:22:31.452000Z,0050,7,True,0,22,True,True,1676315833
f97d5bf41f35aa181288429fb52e3488,Cambie & Water,49.284605,-123.108662,8,24,2023-02-13T19:22:31.451000Z,0052,21,True,3,32,True,True,1676315973
fef69fb400210d861107a61db954d037,Keefer & Abbott,49.279821,-123.10802,2,26,2023-02-13T19:22:31.450000Z,0053,22,True,4,28,True,True,1676316131
9d3123425823420514b8ad410074f02d,Expo & Carrall,49.278004,-123.105664,9,7,2023-02-13T19:22:31.457000Z,0054,6,True,1,16,True,True,1676316049
f1ca711137cde59e824167a4274df888,Keefer & Columbia,49.279342,-123.101822,3,11,2023-02-13T19:22:31.456000Z,0055,9,True,2,14,True,True,1676316133
4f6ebf2026d540ffe40e29a80138ad5e,Marinaside & Cooperage,49.273833,-123.114373,4,22,2023-02-13T19:22:31.453000Z,0057,22,True,0,26,True,True,1676315857
