,station_empty_slots,station_free_bikes,station_normal_bikes,station_ebikes,station_slots,Bar_FS,EV_Charging_Station_FS,Fuel_Station_FS,Park_FS,Parking_FS,Restaurant_FS,Transport_Hub_FS,Bar_yelp,EV_Charging_Station_yelp,Fuel_Station_yelp,Park_yelp,Parking_yelp,Restaurant_yelp,Transport_Hub_yelp
75,6,10,10,0,16,30.0,0.0,9.0,23.0,4.0,50.0,13.0,27.0,0.0,8.0,10.0,1.0,50.0,6.0
76,9,7,7,0,16,26.0,0.0,8.0,17.0,5.0,50.0,13.0,26.0,0.0,8.0,9.0,1.0,50.0,6.0
77,4,10,7,3,14,37.0,0.0,1.0,20.0,9.0,50.0,19.0,42.0,1.0,2.0,12.0,2.0,49.0,50.0
78,14,2,2,0,16,20.0,0.0,5.0,20.0,2.0,49.0,5.0,21.0,0.0,6.0,9.0,0.0,50.0,4.0
79,8,8,7,1,18,50.0,0.0,2.0,18.0,19.0,50.0,28.0,50.0,0.0,1.0,8.0,8.0,50.0,18.0
80,7,13,6,7,20,50.0,0.0,2.0,9.0,24.0,50.0,19.0,50.0,0.0,0.0,7.0,12.0,50.0,11.0
81,13,7,6,1,20,8.0,0.0,6.0,8.0,0.0,31.0,4.0,13.0,0.0,4.0,8.0,0.0,50.0,2.0
82,4,12,8,4,16,21.0,0.0,8.0,20.0,5.0,50.0,13.0,23.0,0.0,8.0,10.0,1.0,50.0,5.0
83,14,24,22,2,39,12.0,0.0,4.0,13.0,0.0,50.0,4.0,12.0,0.0,5.0,6.0,0.0,50.0,1.0
84,11,19,14,5,30,11.0,0.0,4.0,10.0,0.0,42.0,4.0,10.0,0.0,6.0,7.0,0.0,50.0,1.0
85,11,7,7,0,18,19.0,0.0,9.0,16.0,0.0,50.0,3.0,16.0,0.0,9.0,8.0,0.0,50.0,3.0
86,10,4,3,1,14,50.0,0.0,1.0,9.0,8.0,50.0,8.0,46.0,0.0,0.0,6.0,4.0,50.0,3.0
87,7,7,3,4,14,10.0,0.0,1.0,19.0,7.0,49.0,11.0,15.0,0.0,0.0,12.0,2.0,49.0,1.0
88,9,5,4,1,14,42.0,0.0,3.0,15.0,6.0,50.0,13.0,32.0,1.0,3.0,11.0,2.0,50.0,50.0
89,27,4,4,0,32,43.0,0.0,1.0,17.0,8.0,50.0,27.0,50.0,1.0,1.0,13.0,3.0,50.0,50.0
90,6,14,7,7,20,39.0,0.0,3.0,13.0,4.0,50.0,14.0,30.0,1.0,3.0,10.0,1.0,50.0,50.0
91,6,14,13,1,20,40.0,0.0,1.0,17.0,7.0,50.0,21.0,43.0,0.0,1.0,9.0,3.0,50.0,14.0
92,10,4,4,0,14,32.0,0.0,2.0,13.0,5.0,50.0,9.0,31.0,1.0,2.0,13.0,2.0,50.0,50.0
93,16,2,2,0,20,50.0,2.0,4.0,23.0,21.0,50.0,41.0,50.0,0.0,3.0,13.0,6.0,50.0,17.0
